序号,正文,情感属性,情感分值
2806,说了些什么玩意儿!胡扯八道!,负面,0.009851386
2807,回复@温和的青菜:哈哈哈//回复@malone201604:现在尼玛还要讲人权，国际公约。。想想老子年轻的时候，老子的话就是国际公约，那会只有猪权。,负面,0.008240659
2808,看了这些回复，媒体人的文章糊弄读者挺难的哟,负面,0.002291095
2809,你去跟东欧人说“要是苏联还在”这样的话吧。,中性,0.472438014
2810,我只能说你想出名想疯了。,负面,0.245903895
2811,回复@18green_new:布拉格之春没听过吗？！//回复@电气英豪:哟，编出捷克大屠杀来了。接着编。[笑cry],中性,0.496634266
2812,后悔苏联解体这话你也能说出来，因为一件事就否定俄罗斯的一切？,负面,0.0074429
2813,高度集中的经济体制阻碍了生产力的发展。戈尔巴乔夫右倾改革是对左的反动，引发社会矛盾。高度集中政治经济体制与联邦国家结构与社会生产力的矛盾。。。,中性,0.389384488
2814,看看罗马尼亚电影《无声婚礼》，就理解欧洲国家对苏联的恨了。,中性,0.497146391
2815,妈哟，这微博评论没眼看了。。。。。。。卧槽全他么智障,负面,0.000952429
2816,枪支不禁你会死,负面,0.006401468
2817,苏舔,中性,0.502089397
2818,苏联解体是因为它自己撑不住了,中性,0.479021632
2819,回复@狮子山下1222:意识形态都不要谈了，谁会说几句俄罗斯语，谁看过几本俄罗斯的文学，谁认真读过几本书都不会像网络喷喷们这样浪费时间//1980年的莫斯科奥运会有60多个国家抵制没参加，那时苏联可还在哦,中性,0.484896598
2820,回复@战国的风云儿:探索和开拓//普京老贼自己都不觉得想回到苏联那个时代[笑而不语][笑而不语][笑而不语],中性,0.49932729
2821,回复@战国的风云儿:这里无知的人喷子太多了，除了摇旗呐喊我们还是应该从务实的行动上展开民族道路的探索和，战战兢兢，如履薄冰//普京老贼自己都不觉得想回到苏联那个时代[笑而不语][笑而不语][笑而不语],负面,0.119531665
2822,历史的结构，国家的战略，意识形态的重要性，选择与原则～,中性,0.5003084
2823,回复@公知们的爸比:你确定没用过美国手机？骁龙cpu有木有？安卓系统有木有？//回复@潮水如吹:呵呵，从没用过美国手机，用不起啊，不过小弟不才，VPN包年，想看看湾湾的疯狂，以及脸书，推特的删帖，那叫一个狠，其实你已经暴露目的，就是通过你们的主子和平演变中国，实在不行就动武，然后像伊拉克，利比亚，叙利亚一样，虚弱的中国才是西方国家想要的！何必装呢？,负面,0.002808016
2824,竟无一人是男儿？忘记八国联军进攻北平时，百姓怎么帮忙的吗？想过这是为什么吗,中性,0.386311153
2825,苏联，还是不在了好——无论对谁而言。,中性,0.496198932
2826,回复@福雨自来无敌:要是哪个国家不加区别屠杀华人，并且攻破大使馆把中国大使和夫人当街斩首，算不算失道？//回复@走向共和_Alan:当年八国联军入侵中国，是中国失道了吗？[弱],负面,0.001083633
2827,回复@hotboyjerry:飞盘叼得好，可上正席[笑而不语][笑而不语]//总有预感，这辈子能看到你被送上历史审判台,中性,0.499548735
2828,总有预感，这辈子能看到你被送上历史审判台,中性,0.499187319
2829,苏爹势微了，你看你胡编一副如丧考妣的模样,负面,0.012639838
2830,回复@汏眼曂犇:所谓的防民之口 甚于防川？//回复@啊啊啊啊啊啊没有名字:可以。你私下随便谈。。在公开网络环境不宜宣扬中俄不开心的历史。因为政治决定就是如此。美国倒下。不用你来谈。官方自然谈。这就是政治。。现在的背景下公开宣扬中俄对抗的属于特务行为,负面,0.113288452
2831,回复@汏眼曂犇:政治角度我不谈 但我说的从江东四十六屯到援华飞虎队都是由官方记载的 是真实的 我查到的  并无夸大  并无煽风点火 无缘无故扣人帽子 是不是不符合你理智分析的人设？//回复@啊啊啊啊啊啊没有名字:而且你谈的历史不真实。人为夸大。官方有详细调查记录各种文献档案。不需要你煽风点火。,负面,0.013672909
2832,回复@用户微如尘土:要是胡有良知的话，宁愿，也不会//“要是苏联在”这话白说，它确实不在了。胡编！,中性,0.273437051
2833,回复@呆狗呆呆的:哈哈哈呵呵呵，小弟过来一趟，大哥这几天有闹心事//曹县的大BOS来中国了，要说起来这是咱们国家长脸的事情啊。为什么不报道呢？胡叔。,负面,0.056175367
2834,俄罗斯流氓，只要流氓和他为伍，在21世纪还搞暗杀从国内杀到国外,负面,0.000294388
2835,回复@公知们的爸比:辩论首先得有理有据，不是看了两天新闻联播就明白了整个世界的！也不是实在不知道说啥就说你们都滚出去的！《新青年》那些创始人也都是你口中的公知，没有他们的不断发声，哪有你今天拿着美国手机回微博？你们所害怕的不是所谓的公知说了什么，而是害怕像当年的公知一样，扩大了影响，推翻了什么！//回复@潮水如吹:难以想象到处都是恐怖分子，美军经常死人的地方那么幸福？看来除了中国，这个世界都很幸福！所以你们还是走吧，别留下来陪我们受罪了。听说利比亚，叙利亚不错哦，本地人都去欧洲了，你们去了没人抢地盘，拜拜！,负面,0.012335234
2836,苏联是社会帝國主義。,中性,0.390740406
2837,看到你这个表情真想揍你,负面,0.001925864
2838,眼睛能睁大点吗？俄罗斯人都急你急什么急,中性,0.481426429
2839,真是应了那句“咸吃萝卜淡操心”,中性,0.484716396
2840,傻 缺胡大 咧,负面,0.011365804
2841,一个人不恨你，没问题，二个人恨你，也可能没问题，几十人都恨你，就肯定是你自己的问题，一个国家亦然。俄国人在近代就没干过一件好事，惨案不断，还侵占我国领土！活该全世界制裁！[怒][怒][怒],负面,0.002806197
2842,回复@公知们的爸比:你看过凤凰卫视的伊拉克采访视频么？可以去看看！不同于CCTV的采访角度！不让你看CNN BBC这样的走在邪路国家的新闻！就看看中华人民共和国国土上的电视台拍摄的！可以去找找//回复@潮水如吹:所以说你是公知嘛，要不你去问问伊拉克人民:“你幸福吗？”,负面,0.216805106
2843,中国必须团结,正面,0.988699043
2844,回复@走向共和_Alan:当年八国联军入侵中国，是中国失道了吗？[弱]//失道者寡助,负面,0.019236722
2845,老毛子没心没肺的，不怕事大，有酒就行,中性,0.489222606
2846,你不想想苏联为什么会解体？,中性,0.47224276
2847,拉倒吧，死了的毛熊才是好毛熊，他不解体，我们能过的舒服？？？全国那么多防空洞不都是为了防当年的苏联么！,负面,0.024239473
2848,回复@公知们的爸比:我是你爷爷！//回复@中原新子:所以我可以肯定你是我儿子，哈哈哈哈哈哈,中性,0.507529177
2849,回复@公知们的爸比:伊拉克人口1991年人口总数17715682人，2017年的人口总数为38254854人，人口增长总数为20539172人！人口总数并没有下降！反而在持续增长！//回复@潮水如吹:呵呵，人口少了，人均当然上去了,中性,0.49924394
2850,回复@公知们的爸比:伊拉克两伊战争就早已拖垮了经济！入侵科威特主要是钱还不起了！伊拉克被制裁也是通过联合国决议的！美国攻打伊拉克后，伊拉克的GDP增长了8倍！并且中华人民共和国国家统计局也是对伊拉克GDP的统计提供了帮助的！这个GDP的增长也是得到国际社会认可的！//回复@潮水如吹:富得流油的伊拉克现在咋样？利比亚咋样？叙利亚咋样？,中性,0.499357429
2851,这是个说单口的还是演小丑的？,负面,0.173733864
2852,回复@tomfrad:大国沙文主义呗//凭什么冰岛不配正眼看？[微笑],负面,0.054862694
2853,//@先生的豆浆和煎饼:现在还在为苏联惋惜？胡编你是真傻还是假傻？苏联这种国家生于不义，死于耻辱，核武器可以毁灭人类一万次，但他的人民连面包都买不起，这种毫不利人，专门利己的国家罪有应得,负面,0.001543855
2854,回复@冯极菩萨:中俄天然气协议的具体价格约为2.19元人民币/立方米。资料显示，俄罗斯向欧盟售气的价格约为2.3元/立方米，而中国从中亚进口天然气的价格在2.2元/立方米。,中性,0.50002724
2855,回复@冯极菩萨:美国《外交政策》中国已经同意以每千立方米约350美元的价格购买俄罗斯天然气，这低于俄罗斯对欧洲的每千立方米380美元的最低要价。--------------不知道你所谓的贵是从哪里听说来的？,中性,0.499980487
2856,回复@冯极菩萨 ：你知道澳洲卖给你的铁矿石才是贵，知道不？,中性,0.500029508
2857,回复 @ty哪里的天空不下雨 ：滚远点！少在这里乱吠的。。,负面,0.01504194
2858,回复@冯极菩萨:不贵！都是国际市场价。国际市场期货交易价//回复@黄帝的微博2018:你知道俄罗斯卖你的天然气有多贵么,中性,0.500021795
2859,回复@南华系:你天天意淫别人把存款子女送去了，又没证据就干胡说八道的，你是住地下室久了就成天妒忌别人吧//回复@黄帝的微博2018:服你！看一个国家是否得到大众喜欢，只看富人和领导是不是把存款子女送去就可以了。就像藏族的用身体丈量土地到拉萨都是一帮穷人一样，见过土司头人这样干过吗？,负面,0.007083478
2860,当年深挖洞广积粮，防的是谁？,中性,0.500257798
2861,回复@兰州烧瓶:古巴导弹危机以什么方式收场的，胡锡进可知否？//人家老胡是以史为鉴，以邻为鉴，说明国家要强盛的道理，哪里为苏联招魂了？这一个个美狗激动的狂吠不止。来来来，教教你们啊，驳斥别人，驳论点效力最强，论证的逻辑性其次，论据再次。不要逮着论证过程的一句话，咬着不放，这只能是你们这些美狗没文化，无处下嘴的体现，没事多读书，不要出来秀智商。,负面,0.019079971
2862,所谓苏联，和当年希特勒德国有何本质区别？,中性,0.499524644
2863,东西,中性,0.49823895
2864,我欣赏美国，也欣赏俄罗斯，就是痛恨日本。美国有人类社会的终极理想民主自由人权，俄罗斯有战斗民族的男子汉大丈夫本色，日本却是侵略实践灭族的三光政策，它才是中华民族的真正死敌。大家把眼睛一定要擦亮，极左和极右都将置中华民族于万劫不复！,中性,0.479302725
2865,回复@天涯彼芳:蛮横有个度  相比之下  选择美国//回复@uhwaha:好像有道理。可是美国也一样啊,中性,0.498761082
2866,早就后悔了,负面,0.042862535
2867,强扭的瓜不甜 旧体制实在落后  解体是进步  不是倒退！,中性,0.350783546
2868,抢来的东西能算自己的吗？社会达尔文。胡想要宣扬什么价值观呢？自愿自由才是根本。中国有句话，强扭的瓜不甜。老胡，你说呢？你那活不太容易干。确实需要一个强大到扭曲的心理。,负面,0.042840749
2869,没有不死的人，没有不亡的国,中性,0.478377559
2870,该骂就骂，生活还是要生活的哈。,负面,0.101483774
2871,阴阳怪气，狗屎胡编。,负面,0.00042323
2872,回复@公知们的爸比:当年富得流油的古巴，革命后啥样？开放的伊朗，革命后啥样？//回复@中原新子:卡斯特罗被美国暗杀那么多次，我也怀疑美帝栽赃的,负面,0.007375361
2873,脑残！胡说八道！助纣为虐！,负面,0.000217957
2874,苏联，是人类不成熟的野蛮史的一部分,负面,0.049470001
2875,胡编现在连俄国人都代表了,中性,0.499843431
2876,回复@黄帝的微博2018:俄罗斯是战斗民族？错了 真正的战斗民族是美国 美国建国来动用军队200多次 发动和参加的主要战争39次 二战后至今的战事就有34次 但美国战争有个特点 与俄罗斯不同， 自19世纪中期以来 美国就没有与邻国打过仗 而是每隔数年 就到距离美国领土 数千英里的地方打仗 而且都是没有领土需求的战争。//回复@先生的豆浆和煎饼:回复 @我有个小臭臭- ：是谁买武器给台湾不让这个统一的？是谁轰炸中国大使馆的？是谁挑起贸易战的？,中性,0.498779367
2877,回复@黄帝的微博2018:服你！看一个国家是否得到大众喜欢，只看富人和领导是不是把存款子女送去就可以了。就像藏族的用身体丈量土地到拉萨都是一帮穷人一样，见过土司头人这样干过吗？//回复@走向共和_Alan:俄罗斯什么时候侵占中国土地了？俄罗斯从来没有侵略过中国，八国联军是美国干的，抗战是美国买武器给日本侵略中国，苏联帮中国抗战赶走日军，抗美援朝美国侵略中国你忘记了？美国到现在还在挑起贸易战你装瞎子？,中性,0.359192897
2878,胡锡进录得这段纯属秀了智商！,负面,0.130906966
2879,胡不会讲道理,中性,0.495078939
2880,回复@我一直都在_28017:猥琐！//这货表情就很恶心！,负面,0.000315455
2881,人家是流氓 你也跟着别人流氓吗,负面,0.001172567
2882,知道苏联怎么解体的吗？我们的民族政策就是当年苏联的那条不归路,中性,0.495904892
2883,胡总编， 总胡编？[哈哈]你就不能问问想想苏为什么垮了吗？再说，苏垮了，对中国有百利而无一害啊，苏联百分之九十几的土地从哪里掠夺来的？//@远道参荆棘:苏联是被自己搞垮的，这点不认识清楚，就别谈什么经验教训。,负面,0.070479051
2884,你特么傻吧？苏联坑害中国不浅啊！自己想去吧！,负面,0.000862228
2885,胡总编， 总胡编？[哈哈]你就不能问问想想苏为什么垮了吗？再说，苏垮了，对中国有百利而无一害啊，苏联百分之九十几的土地从哪里掠夺来的？,负面,0.120331254
2886,说错，捷克没有跟,中性,0.499138218
2887,回复@汏眼曂犇:所以政治决定大家就不能评论历史了吗//回复@走向共和_Alan:目前国际环境。联俄是政治决定。。该打的时候珍宝岛照样打。。你们这种人。在不该讨论的时间讨论不该讨论的问题。和特务行经并无差别,中性,0.292580049
2888,没关系，美国也是说啥都有,中性,0.482841531
2889,回复@陕西愣娃198710:[嘻嘻]这不牵涉到认祖归宗的问题吧//回复@我爱你forever我的宝贝:那是和他不一样吗？是最基本的情况都搞不清楚，连自己姓什么叫什么都不知道,中性,0.338820582
2890,狗汉奸要狠狠的批,负面,0.000239966
2891,嘴炮,负面,0.00234785
2892,可悲哟，可悲哟，人民？？？你自己信吗？？？我不想当人民，我想当人，我只求这个政党不要把国家的一切都和他绑定了，现在有什么东西党让它自由发展的，管的和一坨屎一样，还要人唱赞歌，我又不是你，太难了吧？？？？,负面,0.000623778
2893,说的好。,正面,0.802415565
2894,回复@先生的豆浆和煎饼:其实，她智商一点都不低，反而很精明，她计算的是如何买到更便宜的美国货，而政府则需要算另外一笔账，包括就业问题，产业结构改善，以及如何参与国际分工和竞争问题。//中国生产一双鞋成本100，卖国人400，出口到美国超市卖5美元。赔70元人民币，4千双鞋换回2万美元，赔28万人民币。用2万美元从美国进口一台车，到中国卖50万元。赚36万。中国没亏，美国也没亏，吃瓜群众亏了。结果美国人说这不合理，中国不是自由贸易市场。可笑的是吃瓜群众站出一片指责美国贸易保护！,负面,0.203599901
2895,中华文明自古以来讲个“义”字。小到兄弟之义，大到民族之义。“义”字较复杂，筒单说包含要舍弃一些自身利益，为更高更大的格局作出牺牲。但历史和现实中确有很多无义之人，自私狭隘，甚至为此背叛兄弟，背叛国家和人民。它们有各种理由，但共同点就是遇到危难就反骨。是真正可怕的小人啊。,负面,0.107366481
2896,老胡那天也会被当做夜壶抛掉,中性,0.494438911
2897,老胡不必和这种人理论，你骂他只会让他更兴奋。,负面,0.177394649
2898,回复@先生的豆浆和煎饼:我差，说的跟真的一样。现在出国的人这么多，随便去打听下，看是不是这回事。//中国生产一双鞋成本100，卖国人400，出口到美国超市卖5美元。赔70元人民币，4千双鞋换回2万美元，赔28万人民币。用2万美元从美国进口一台车，到中国卖50万元。赚36万。中国没亏，美国也没亏，吃瓜群众亏了。结果美国人说这不合理，中国不是自由贸易市场。可笑的是吃瓜群众站出一片指责美国贸易保护！,负面,0.014109397
2899,猜猜，主编会在哪个国家度过余生？红色传统是拿社会主义的红利享资本主义的福利？,中性,0.457788201
2900,回复@云南老小林:奴才→顺民→人民。//他生长在这片土地上，他就是这块土地上的人民。你说不是就不是吗？,中性,0.384431323
2901,我和胡总站一排，看来我是人民[太开心],正面,0.995017434
2902,谁算人民？人与人民有什么区别？,中性,0.499231607
2903,回复@燃烧的强哥:你去过俄罗斯吗？//回复@起奇马:教育免费医疗免费是需要经济实力支持的，医疗只要买了医保交了新农和，住院看病是花不了多少钱的，之所以看不起病，那是因为有的人舍不得买一年几百块的新农和。俄罗斯人经济差，别谈什么理想了，年轻人因为没追求，酗酒挂掉的也不少。未来十年，房价不会有大变化了。另外西方国家年轻人买房也不容易。,中性,0.449428158
2904,回复@小伙伴-金:  人民日报1949年8月14日第一版刊登的郭沫若写于8月12日的文章《中苏同盟四周年——中苏友好同盟条约四周年纪念日在北平新华广播电台对全国的广播词》//回复@大師胸v:嘿，百度大法好，百度说的都对，百度从来不传谣言，百度都是社会良心在说话,中性,0.502000907
2905,回复@馍馍牛:恩，郭也写过这类赞美蒙古独立的文章，还要更早。//回复@大師胸v:是胡华1950年02月24日在《人民日报》发表的《我们应不应该承认外蒙古独立》文章中说的，不是郭沫若说的。你错了。,中性,0.499831932
2906,落后就要被欺，这是铁律。我永远不希望自己因是个中国人而受欺负//@环球时报: 国家不能弱啊。相信现在俄罗斯人很多都在怀念苏联了。1980年莫斯科奥运会被西方抵制了，1984年的洛杉矶奥运会不仅苏联没去，东欧一个国家都没去。但是世间没有后悔药。苏联解体的前车之鉴，世界上的所有大国都要深刻记取。,中性,0.504008653
2907,为什么要群殴它？,负面,0.000639137
2908,回复@lnsincos:公正在哪？//不愧是我读了十几年的报纸，犀利的语言，理性客观公正的视角。,中性,0.508831494
2909,回复@兰州烧瓶:智障是拯救不完的。 人云亦云，没有独立思考能力，没有基本理解能力的人都是智障。 和智障讲理浪费时间。 浪费时间是不对的。  综上，没有必要拯救智障了。//人家老胡是以史为鉴，以邻为鉴，说明国家要强盛的道理，哪里为苏联招魂了？这一个个美狗激动的狂吠不止。来来来，教教你们啊，驳斥别人，驳论点效力最强，论证的逻辑性其次，论据再次。不要逮着论证过程的一句话，咬着不放，这只能是你们这些美狗没文化，无处下嘴的体现，没事多读书，不要出来秀智商。,负面,0.200226839
2910,解体又不是俄罗斯人决定的！,中性,0.493754706
2911,回复@Arumi_橙子:随便选个票算民主的话，隔壁曹县最民主//回复@白手套:[挖鼻]装高深,中性,0.485001842
2912,苏联在又怎样？古巴导弹危机还不是彻底认怂[允悲],中性,0.331891442
2913,回复@白手套:[挖鼻]装高深//回复@Arumi_橙子:对你弹琴，还是没兴趣了,中性,0.500005055
2914,回复@Arumi_橙子:对你弹琴，还是没兴趣了//回复@白手套:哦，你来给我解释一下？,中性,0.500058731
2915,回复@白手套:哦，你来给我解释一下？//回复@Arumi_橙子:你懂什么是选举？2货？,中性,0.499213562
2916,回复@Arumi_橙子:你懂什么是选举？2货？//回复@白手套:哦，自己不去选还张口闭口没选举权，选票在你手上爱选谁选谁好吗,负面,0.027724822
2917,回复@开国大典:但是没有，平息了风暴，那个时期又刚好搞改革//回复@Bernard-Abraham:我们也差一点吧？,中性,0.49937389
2918,回复@山静风来:人人平等只是空话//苏联的民族政策，是导致苏联解体的根本原因。。。中国需要悬崖勒马，及时修正违背宪法的民族政策，还汉族一个公道。,负面,0.00550372
2919,回复@起奇马:[汗]你觉得看个病一百万，有哪个国家能做到免费吗？号称免费医疗的只是看小病免费。所有涉及到巨额医药费的都是不可能完全免费的。你应该住精神病院。//回复@燃烧的强哥:（老家的亲戚得了癌症，看病花了大几万块钱）癌症只化大几万?癌症有化几十万，甚至百万，你不知道?你信口雌黄，胡说八道，丧尽天良，无耻至极!你早晚逃脱不了报应，不信走着瞧!,负面,0.001149778
2920,不愧是我读了十几年的报纸，犀利的语言，理性客观公正的视角。,中性,0.645998806
2921,回复@走向共和_Alan:回复@自由的俊勇:你是智障吧，你是美国养的？//俄国侵占中国500多万平方公里的国土，包括一手造成外蒙古的独立，八国联军侵华期间，在黑龙江杀害的中国人，其漂浮的尸体把黑龙江都堵住了，现在却因为政治的需要，大吹特吹俄国，你们这算什么！,负面,0.004815813
2922,回复@白手套:哦，自己不去选还张口闭口没选举权，选票在你手上爱选谁选谁好吗//回复@Arumi_橙子:哈哈，你认识居委会选举的人？不是按名字抄的吗？,中性,0.406586165
2923,波罗的海沿岸三国怎么成为苏联的加盟国的，你心里没点数么？,负面,0.014248445
2924,"回复@起奇马:我说的是事实而已，老家的亲戚得了癌症，看病花了大几万块钱，有买新农和，自己就花了一万多。有的人众筹，最后都是可以剩下不少钱的。之所以看不起病，那是因为他不买保险。城市里的医保报销的比例更高。你这么胡乱造谣是要下地狱的。//回复@燃烧的强哥:你意思跳楼的是因为 没买新农合 你真丧尽天良  你这么说话会天杀雷劈 会报应而死!其实跳楼都是城里人 农村人生大病 很多是在家等死 根本没钱医!教育免费 医疗免费没有高房价 人人有选票, 俄现在真的很好 起码比现在中国幸福，如果中国变成俄 那是天大好事!",负面,0.000449622
2925,瞎逼逼什么啊。你不是苏联人。不必操苏联人的心，为什么要制裁他，原因是什么，我们需要知情权，这才是正道，你有知道的，可以说出来，不知道的，不能乱说。请好自为之，祝长寿。,负面,0.101948827
2926,你丫真没法说你，只能呸了,负面,0.000544352
2927,你这不是废话么，八旗子弟也后悔清朝结束啊。欺压别的国家好久现在淫威不够被别人报复还说啥苏联借胆子。不用借苏联实实在在的就是被操翻了,负面,0.000252073
2928,我孙子退休后铁定定居美帝国//@校长修车: //@吴顾问1970://@闵玉平5:这孝子贤孙的嘴角。[挖鼻]//@张晨初艺术空间:  http://t.cn/RnHWkpQ  //@用户微如尘土：“要是苏联在”这话白说，它确实不在了。胡编！,中性,0.410660247
2929,忘记过去等于背叛，还为苏联挽歌，它以前欺压中国还少吗？简直胡言乱语，不分青红皂白。,负面,0.00069588
2930,回复@Arumi_橙子:哈哈，你认识居委会选举的人？不是按名字抄的吗？//回复@白手套:哦，每年居委会都有选举你自己不去而已[挖鼻],中性,0.491431838
2931,回复@18green_new:应该是指华约1968年入侵捷克斯洛伐克占领布拉格阻止布拉格之春那时对学生和民众的杀戮[吃瓜]//回复@电气英豪:哟，编出捷克大屠杀来了。接着编。[笑cry],中性,0.46762237
2932,回复@起奇马:我在东北认识很多俄罗斯人，因为经济不好，所以男人酗酒，并没有证据表明是俄罗斯人杀的特工。俄罗斯人的生活没有中国人好。这是肯定的。//回复@燃烧的强哥:（外交官都被驱逐了）外交官驱逐跟百姓幸福毛关系，你真搞笑（俄罗斯家庭男人好多因为酗酒死了）酗酒是因为天气寒冷 中国东北因酗酒而死的人，比俄罗斯多很多，你是不是认为中国人都很惨?没人围堵俄，俄化学武器杀人 咎由自取!,负面,0.001200106
2933,回复@中原新子:哈哈，美帝若无底线，十个斯若登恐怕都完了。//主要是以前经常发生，才怀疑是俄罗斯干的。美国和前苏联如让世界人民选择一个，可能大多数人选择美国。,中性,0.485576596
2934,回复@起奇马:免你MLGB，，，，，，你去看看老毛子的医疗是怎么回事再说//回复@燃烧的强哥:如果我们现在跟俄罗斯一样，对百姓来说是好事!你不希望医疗免费，你不希望小学到大学免费?你不希望人人有权力 选总统?,负面,0.152688844
2935,回复@先生的豆浆和煎饼:他是高级黑你不知道吗？//现在还在为苏联惋惜？胡编你是真傻还是假傻？苏联这种国家生于不义，死于耻辱，核武器可以毁灭人类一万次，但他的人民连面包都买不起，这种毫不利人，专门利己的国家罪有应得,负面,0.000353149
2936,1971年英国驱逐105个，83年法国驱除47个，86年美国驱除55个苏联外交官。这驱逐规模不能说小吧。好奇怪，这些国家居然还在没有被苏联给灭了。,中性,0.419351079
2937,回复@先生的豆浆和煎饼:当然是假傻。//现在还在为苏联惋惜？胡编你是真傻还是假傻？苏联这种国家生于不义，死于耻辱，核武器可以毁灭人类一万次，但他的人民连面包都买不起，这种毫不利人，专门利己的国家罪有应得,负面,0.000541664
2938,回复@起奇马:教育免费医疗免费是需要经济实力支持的，医疗只要买了医保交了新农和，住院看病是花不了多少钱的，之所以看不起病，那是因为有的人舍不得买一年几百块的新农和。俄罗斯人经济差，别谈什么理想了，年轻人因为没追求，酗酒挂掉的也不少。未来十年，房价不会有大变化了。另外西方国家年轻人买房也不容易。//回复@燃烧的强哥:医疗免费是全免，俄罗斯没有看不起病去跳楼的!教育免费，小学到大学全免，没有高房价，年轻人有梦有理想，不会为房子去奋斗!一人一票选总统，可以游行示威 不会被抓!俄罗斯现在的样子 很好 百姓幸福感强于中国!,中性,0.481863189
2939,铁骨铮铮胡锡进，爱国爱民胡锡进,正面,0.998742945
2940,你是个傻子吧,负面,0.000250105
2941,抱歉就算是苏联国势最强的70年代 也经常被欧美驱逐外交官（中苏交恶后 我国也驱逐过苏联外交官）,负面,0.063247916
2942,回复@起奇马:俄罗斯人民现在过得并不好。外交官都被驱逐了。俄罗斯家庭男人好多因为酗酒死了。因为经济不好。俄罗斯民主了并没有让西方国家放弃围堵。//回复@燃烧的强哥:如果我们现在跟俄罗斯一样，对百姓来说是好事!你不希望医疗免费，你不希望小学到大学免费?你不希望人人有权力 选总统?,负面,0.118218601
2943,回复@战国的风云儿:可以普京的干孙子（当然普京不承认有这么个孙子）却想回到苏联[哈哈][哈哈]//普京老贼自己都不觉得想回到苏联那个时代[笑而不语][笑而不语][笑而不语],中性,0.496723707
2944,回复@白手套:哦，每年居委会都有选举你自己不去而已[挖鼻]//回复@Arumi_橙子:选举权？,中性,0.495525494
2945,可别特么胡bb了，西方不敢动苏联人？西方遣返的的苏联人比你帮苏俄吹过的牛逼都多,负面,0.006337368
2946,苏联时期被驱逐的外交官还少？,中性,0.39031344
2947,回复@兰州烧瓶:毛线，苏联时期，被驱逐的外交官还少？//人家老胡是以史为鉴，以邻为鉴，说明国家要强盛的道理，哪里为苏联招魂了？这一个个美狗激动的狂吠不止。来来来，教教你们啊，驳斥别人，驳论点效力最强，论证的逻辑性其次，论据再次。不要逮着论证过程的一句话，咬着不放，这只能是你们这些美狗没文化，无处下嘴的体现，没事多读书，不要出来秀智商。,负面,0.019691938
2948,[允悲][允悲][允悲][摊手],中性,0.408726391
2949,Xx你和oo,中性,0.497804566
2950,为什么评论国家用的是街头混混打架的思维？,负面,0.001599231
2951,回复@Arumi_橙子:选举权？//回复@孤萱能自拔:你哪里不自由不民主了？,负面,0.007789241
2952,回复@Bernard-Abraham:我们也差一点吧？//苏联解体可以说无法避免，有哪个国家经济畸形到像苏联一样,负面,0.00164062
2953,回复@汏眼曂犇:戈尔巴乔夫那时候苏联已经没救了//回复@思若求静:事实上戈尔巴乔夫试图融入西方。打算消除对立。结局就是被西方忽悠的整个国家百年积累下来的东西基本败光。军舰核武器拆光。国土分裂变成敌人。当时培育的精英人才全部被中美挖走。。各种运动清洗暗杀？麻烦你告诉我。美国总统被暗杀国几个？,负面,0.005954887
2954,别人看不明白讲不清楚的事，胡侃三言两语就说清楚了。俄罗斯这是众叛亲离呀！,负面,0.009334213
2955,就冰岛来讲，还是苏联解体了好，这些小国也扬眉吐气一会。公平正义才是最好的护身符，俄罗斯恰恰做的不好。胡编宣扬的是弱肉强食的理论，真恶心。苏联解体是自己做的不好，秦朝不是自己玩完的吗？,负面,0.000586062
2956,回复@九月一月七月:外蒙美国在雅尔塔密约出卖中国利益，外蒙入联时美国施压威胁老蒋让放弃投票，你们这些蒋粉不知道吗？？//回复@黄帝的微博2018:海参崴以前是俄罗斯的？蒙古怎么独立的？,中性,0.490571048
2957,回复@走向共和_Alan:外蒙美国在雅尔塔密约出卖中国利益，外蒙入联时美国施压威胁老蒋让放弃投票，你们这些蒋粉不知道吗？//俄国侵占中国500多万平方公里的国土，包括一手造成外蒙古的独立，八国联军侵华期间，在黑龙江杀害的中国人，其漂浮的尸体把黑龙江都堵住了，现在却因为政治的需要，大吹特吹俄国，你们这算什么！,负面,0.019855877
2958,胡编总有一天你也会被群殴,负面,0.079357529
2959,想想可笑，胡编在为过街老鼠唱挽歌。,负面,0.067173154
2960,回复@兰州烧瓶:可笑的是，强盛的苏俄怎么就莫名其妙的没了？//人家老胡是以史为鉴，以邻为鉴，说明国家要强盛的道理，哪里为苏联招魂了？这一个个美狗激动的狂吠不止。来来来，教教你们啊，驳斥别人，驳论点效力最强，论证的逻辑性其次，论据再次。不要逮着论证过程的一句话，咬着不放，这只能是你们这些美狗没文化，无处下嘴的体现，没事多读书，不要出来秀智商。,负面,0.004912968
2961,欧美抵制苏俄奥运会时，胡编还在穿开裆裤吧？,中性,0.496556719
2962,正是因为苏联操蛋，所以它不在了，胡主编这是急着给它招魂呢？,中性,0.434449776
2963,回复@走向共和_Alan:回复@geneveesettle:你是没心//俄国侵占中国500多万平方公里的国土，包括一手造成外蒙古的独立，八国联军侵华期间，在黑龙江杀害的中国人，其漂浮的尸体把黑龙江都堵住了，现在却因为政治的需要，大吹特吹俄国，你们这算什么！,负面,0.007598893
